26,53,0
28,45,0
23,44,0
21,50,0
26,52,0
35,72,1
25,58,0
30,49,0
21,42,0
28,43,0
28,43,0
36,83,1
36,70,1
21,57,0
24,44,0
25,50,0
24,56,0
28,49,0
25,59,0
28,58,0
26,51,0
21,52,0
26,43,0
29,50,0
47,78,1
22,49,0
30,50,0
30,56,0
44,71,1
22,52,0
23,44,0
20,46,0
28,49,0
38,81,1
38,78,1
22,41,0
30,60,0
23,45,0
21,52,0
30,57,0
26,54,0
29,58,0
47,87,1
36,84,1
41,82,1
26,40,0
20,42,0
26,50,0
44,84,1
20,45,0
22,42,0
23,60,0
46,74,1
29,53,0
26,50,0
42,70,1
23,51,0
27,43,0
43,72,1
20,49,0
28,47,0
25,60,0
24,60,0
46,90,1
27,49,0
23,47,0
26,42,0
41,84,1
43,83,1
21,53,0
24,58,0
22,57,0
22,44,0
39,83,1
30,55,0
26,54,0
29,49,0
26,52,0
26,59,0
38,86,1
47,78,1
44,71,1
21,51,0
25,59,0
30,49,0
29,56,0
49,80,1
22,52,0
26,59,0
29,49,0
27,56,0
25,58,0
48,87,1
48,72,1
27,58,0
23,42,0
20,51,0
40,84,1
47,87,1
42,79,1
22,48,0
26,50,0
27,49,0
21,44,0
22,55,0
26,50,0
21,41,0
26,57,0
20,56,0
26,50,0
49,76,1
24,53,0
26,43,0
35,84,1
23,48,0
26,43,0
27,42,0
45,71,1
27,49,0
41,74,1
20,46,0
25,45,0
43,80,1
48,83,1
22,52,0
26,58,0
29,48,0
24,46,0
44,87,1
49,84,1
22,60,0
22,49,0
26,57,0
24,40,0
27,48,0
40,70,1
42,73,1
35,76,1
24,60,0
43,80,1
44,89,1
28,47,0
27,47,0
23,60,0
29,55,0
30,57,0
42,90,1
27,59,0
22,49,0
22,43,0
27,55,0
29,41,0
47,70,1
43,75,1
45,80,1
29,46,0
24,49,0
36,88,1
23,60,0
21,43,0
49,72,1
22,55,0
30,47,0
48,75,1
22,58,0
25,41,0
49,76,1
27,41,0
22,48,0
24,60,0
26,51,0
23,42,0
30,52,0
22,51,0
20,57,0
23,40,0
23,60,0
26,48,0
25,60,0
22,47,0
29,58,0
28,41,0
22,45,0
22,47,0
30,40,0
27,47,0
25,56,0
25,46,0
46,72,1
24,44,0
25,55,0
21,52,0
37,70,1
24,47,0
21,58,0
30,52,0
30,55,0
35,81,1
27,51,0
21,41,0
49,75,1
27,53,0
27,51,0
29,54,0
22,46,0
30,52,0
22,42,0
22,48,0
20,60,0
30,52,0
26,55,0
24,40,0
27,43,0
42,71,1
30,43,0
24,56,0
22,48,0
24,54,0
28,45,0
20,43,0
